date,pick_id,type,matchup,player,market,actual,notes
2026-05-14,2026-05-14-nrfi-01,NRFI,PHI @ BOS,,FIRST_INNING_RUNS,,Fill after games are final. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-14,2026-05-14-nrfi-02,NRFI,CHC @ ATL,,FIRST_INNING_RUNS,,Fill after games are final. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-14,2026-05-14-nrfi-03,NRFI,KC @ CWS,,FIRST_INNING_RUNS,,Fill after games are final. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-14,2026-05-14-prop-01,PROP,CHC @ ATL,Chris Sale,K,,Fill after games are final. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-14,2026-05-14-prop-02,PROP,KC @ CWS,Kris Bubic,K,,Fill after games are final. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-14,2026-05-14-prop-03,PROP,KC @ CWS,Anthony Kay,K,,Fill after games are final. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-14,2026-05-14-prop-04,PROP,SF @ LAD,Landen Roupp,K,,Fill after games are final. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-14,2026-05-14-prop-05,PROP,CHC @ ATL,Ben Brown,K,,Fill after games are final. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
