date,pick_id,type,matchup,player,market,actual,notes
2026-05-12,2026-05-12-nrfi-01,NRFI,DET @ NYM,,FIRST_INNING_RUNS,,Fill actual after final box scores. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-12,2026-05-12-nrfi-02,NRFI,ARI @ TEX,,FIRST_INNING_RUNS,,Fill actual after final box scores. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-12,2026-05-12-nrfi-03,NRFI,SEA @ HOU,,FIRST_INNING_RUNS,,Fill actual after final box scores. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-12,2026-05-12-nrfi-04,NRFI,COL @ PIT,,FIRST_INNING_RUNS,,Fill actual after final box scores. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-12,2026-05-12-nrfi-05,NRFI,SF @ LAD,,FIRST_INNING_RUNS,,Fill actual after final box scores. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-12,2026-05-12-nrfi-06,NRFI,LAA @ CLE,,FIRST_INNING_RUNS,,Fill actual after final box scores. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-12,2026-05-12-nrfi-07,NRFI,MIA @ MIN,,FIRST_INNING_RUNS,,Fill actual after final box scores. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-12,2026-05-12-nrfi-08,NRFI,SD @ MIL,,FIRST_INNING_RUNS,,Fill actual after final box scores. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-12,2026-05-12-nrfi-09,NRFI,PHI @ BOS,,FIRST_INNING_RUNS,,Fill actual after final box scores. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-12,2026-05-12-nrfi-10,NRFI,WAS @ CIN,,FIRST_INNING_RUNS,,Fill actual after final box scores. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-12,2026-05-12-prop-01,PROP,ARI @ TEX,MacKenzie Gore,K,,Fill actual after final box scores. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-12,2026-05-12-prop-02,PROP,DET @ NYM,Freddy Peralta,K,,Fill actual after final box scores. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-12,2026-05-12-prop-03,PROP,SEA @ HOU,Tatsuya Imai,K,,Fill actual after final box scores. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-12,2026-05-12-prop-04,PROP,COL @ PIT,Paul Skenes,K,,Fill actual after final box scores. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
2026-05-12,2026-05-12-prop-05,PROP,SF @ LAD,Yoshinobu Yamamoto,K,,Fill actual after final box scores. NRFI actual = total 1st inning runs; K actual = pitcher strikeouts.
